"ML"|No |"76729982"|"142151176"
"SM"|No |"76729982"|"142151177"
"CL"|Yes|"76729982"|"142151178"
"ML"|No |"76729983"|"142151179"
"CL"|Yes|"76729983"|"142151180"
"SM"|No |"76729983"|"142151181"
"ML"|No |"76729984"|"142151182"
"SM"|No |"76729984"|"142151183"
"CL"|Yes|"76729984"|"142151184"
"GC"|No |"76729981"|"142151171"
"GM"|No |"76729981"|"142151172"
"SC"|No |"76729981"|"142151173"
"SM"|No |"76729981"|"142151174"
"SC-SM"|Yes|"76729981"|"142151175"
"CL-ML"|No |"76729987"|"142151193"
"GM"|No |"76729987"|"142151194"
"ML"|No |"76729987"|"142151195"
"SM"|Yes|"76729987"|"142151196"
"CL"|Yes|"76729985"|"142151185"
"ML"|No |"76729985"|"142151186"
"SC"|No |"76729985"|"142151187"
"SM"|No |"76729985"|"142151188"
"ML"|Yes|"76729988"|"142151197"
"SM"|No |"76729988"|"142151198"
"CL"|Yes|"76729986"|"142151189"
"MH"|No |"76729986"|"142151190"
"ML"|No |"76729986"|"142151191"
"SM"|No |"76729986"|"142151192"
"CL"|Yes|"76729992"|"142151210"
"CL-ML"|No |"76729992"|"142151211"
"ML"|No |"76729992"|"142151212"
"CL-ML"|Yes|"76729991"|"142151208"
"ML"|No |"76729991"|"142151209"
"GP"|No |"76729990"|"142151204"
"SP"|No |"76729990"|"142151205"
"SP-SM"|Yes|"76729990"|"142151206"
"GP-GM"|No |"76729990"|"142151207"
"CL"|No |"76729989"|"142151199"
"ML"|No |"76729989"|"142151200"
"SC"|No |"76729989"|"142151201"
"SM"|No |"76729989"|"142151202"
"SC-SM"|Yes|"76729989"|"142151203"
"CL"|Yes|"76730130"|"142151559"
"ML"|No |"76730130"|"142151560"
"CL"|No |"76730128"|"142151555"
"ML"|Yes|"76730128"|"142151556"
"CL"|Yes|"76730129"|"142151557"
"ML"|No |"76730129"|"142151558"
"CL-ML"|Yes|"76730134"|"142151566"
"ML"|No |"76730134"|"142151567"
"CL-ML"|Yes|"76730133"|"142151562"
"GM"|No |"76730133"|"142151563"
"ML"|No |"76730133"|"142151564"
"SM"|No |"76730133"|"142151565"
"CL"|Yes|"76730135"|"142151568"
"ML"|No |"76730135"|"142151569"
"ML"|Yes|"76730132"|"142151561"
"ML"|No |"76730136"|"142151570"
"CL"|Yes|"76730136"|"142151571"
"CL"|Yes|"76730137"|"142151572"
"ML"|No |"76730137"|"142151573"
"GM"|No |"76730139"|"142151578"
"ML"|No |"76730139"|"142151579"
"SM"|No |"76730139"|"142151580"
"GC"|Yes|"76730139"|"142151581"
"CL"|Yes|"76730138"|"142151574"
"GM"|No |"76730138"|"142151575"
"ML"|No |"76730138"|"142151576"
"SM"|No |"76730138"|"142151577"
"CL-ML"|No |"76730231"|"142151826"
"GM"|No |"76730231"|"142151827"
"ML"|No |"76730231"|"142151828"
"SM"|Yes|"76730231"|"142151829"
"CL"|Yes|"76730230"|"142151822"
"MH"|No |"76730230"|"142151823"
"ML"|No |"76730230"|"142151824"
"SM"|No |"76730230"|"142151825"
"CL"|No |"76730229"|"142151818"
"ML"|Yes|"76730229"|"142151819"
"SC"|No |"76730229"|"142151820"
"SM"|No |"76730229"|"142151821"
"ML"|Yes|"76730228"|"142151816"
"SM"|No |"76730228"|"142151817"
"CL"|Yes|"76730232"|"142151830"
"ML"|No |"76730232"|"142151831"
"CL"|Yes|"76730234"|"142151834"
"ML"|No |"76730234"|"142151835"
"CL"|Yes|"76730233"|"142151832"
"ML"|No |"76730233"|"142151833"
"CL-ML"|Yes|"76730236"|"142151838"
"GM"|No |"76730236"|"142151839"
"ML"|No |"76730236"|"142151840"
"SM"|No |"76730236"|"142151841"
"CL"|Yes|"76732212"|"142156535"
"CL"|Yes|"76732214"|"142156537"
"SC-SM"|No |"76732214"|"142156538"
"CL"|Yes|"76732213"|"142156536"
"CL"|Yes|"76732211"|"142156533"
"CL-ML"|No |"76732211"|"142156534"
"ML"|Yes|"76732205"|"142156526"
"CL-ML"|No |"76732205"|"142156527"
"OH"|No |"76732205"|"142156528"
"CL"|Yes|"76732207"|"142156530"
"CL"|Yes|"76732206"|"142156529"
"CL"|Yes|"76732208"|"142156531"
"GC"|No |"76732208"|"142156532"
"CL"|Yes|"76732199"|"142156520"
"CL-ML"|No |"76732199"|"142156521"
"CL"|Yes|"76732202"|"142156525"
"CL"|Yes|"76732200"|"142156522"
"CH"|No |"76732200"|"142156523"
"CL"|Yes|"76732201"|"142156524"
"GC"|Yes|"76732198"|"142156518"
"CL"|No |"76732198"|"142156519"
"CL"|Yes|"76732197"|"142156516"
"ML"|No |"76732197"|"142156517"
"CL"|Yes|"76732194"|"142156514"
"SC"|No |"76732191"|"142156511"
"CL"|Yes|"76732191"|"142156512"
"CL"|Yes|"76732195"|"142156515"
"CL"|Yes|"76732193"|"142156513"
"ML"|Yes|"76732186"|"142156506"
"CL"|Yes|"76732188"|"142156508"
"CL"|Yes|"76732187"|"142156507"
"GC"|Yes|"76732190"|"142156510"
"CL"|Yes|"76732189"|"142156509"
"CL"|Yes|"76732183"|"142156504"
"CL"|Yes|"76732182"|"142156503"
"CL"|Yes|"76732184"|"142156505"
"CL"|Yes|"76732181"|"142156502"
"CL-ML"|Yes|"76730237"|"142151842"
"ML"|No |"76730237"|"142151843"
"CL"|Yes|"76730235"|"142151836"
"ML"|No |"76730235"|"142151837"
"ML"|Yes|"76730238"|"142151844"
