9299|"584639"|"543588"|"35095085"
9299|"584640"|"543588"|"35095264"
9299|"584641"|"543588"|"35095424"
9299|"584643"|"543588"|"35095622"
9299|"584644"|"543588"|"35095801"
18556|"584639"|"543589"|"35095086"
18556|"584640"|"543589"|"35095265"
18556|"584641"|"543589"|"35095425"
18556|"584643"|"543589"|"35095623"
18556|"584644"|"543589"|"35095802"
16670|"584639"|"543602"|"35094930"
16670|"584640"|"543602"|"35095109"
16670|"584641"|"543602"|"35095286"
16670|"584643"|"543602"|"35095467"
16670|"584644"|"543602"|"35095646"
4770|"584639"|"543612"|"35094940"
4770|"584640"|"543612"|"35095119"
4770|"584641"|"543612"|"35095296"
4770|"584643"|"543612"|"35095477"
4770|"584644"|"543612"|"35095656"
5459|"584639"|"543626"|"35094949"
5459|"584640"|"543626"|"35095128"
5459|"584641"|"543626"|"35095303"
5459|"584643"|"543626"|"35095486"
5459|"584644"|"543626"|"35095665"
