"Ap"||"A"|||0|0|0|23|25|27|23|25|27|0|0|0|0|3|5|90|95|100|80|90|100|75|87.5|100|55|72.5|90|20|29.1|35|2|2.4|3|3|3.4|4|4|4.8|5|9|9.1|10|9|9.4|10|45|53.4|65|26|28|30|23|25.4|27|10|17.5|25|0|0|0|2|2.5|3||||1.1|1.25|1.4||||1.16|1.31|1.46||4.23|9.17|14.11|0.16|0.19|0.22||||20.2|25.5|30.3|6.4|10.9|15.9|38|46|54|0.6|1.3|2.3|25|33|41|6|11|17|0|6|16|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|9.5|13.6||||2.9|8.3|13.6|5.3|6.1|6.9||||||||||1.8|5.2|8.8|||||||||||||||||||"Low"|"Moist"|"25727833"|"76732193"
"R"||"R"|||117|122|127|145|147|150|23|25|27|||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||1.4|1.6|1.8||||||||0.42|2.33|4.23||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||"Very high"|"Moist"|"25727833"|"76732192"
"Bx"||"B"|||46|51|56|94|99|104|46|48|50|0|0|0|0|4|9|81|88|91|55|72|78|55|72|78|51|70|78|5|9.4|30|0|0.4|2|1|2|4|2|3|5|1|2|3|1|2|3|52|69.3|70|25|27.6|30|40|41.7|44|15|21.3|32|0|0|0|0|0.25|0.5||||1.3|1.45|1.6||||1.38|1.53|1.61|2.67|0.42|0.92|1.41|0.06|0.08|0.1||||16.6|22.5|25.9|6.4|10.2|13.1|25|35|42|0.8|1.1|1.4|27|31|35|11|14|17|2|7|11|".32"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|8.6|11.2|13.2||||4.7|10.5|16.5|5.1|5.8|6.5||||||||||2.3|5.3|8.4|||||||||||||||||||||"25727833"|"76732195"
"BCg"||"BC"|||94|99|104|117|122|127|21|23|25|0|0|0|0|10|20|75|87.5|100|45|67.5|90|40|65|90|40|62.5|85|10|20.9|40|1|1.5|2|2|2.2|3|1|2|3|6|6.5|7|8|8.7|9|35|54.6|72|22|24.6|27|26|30|32|10|24.5|27|0|0|0|0|0|0||||1.5|1.7|1.9||||1.61|1.81|1.92||0.42|2.33|4.23|0.06|0.09|0.12||||11|21.8|31.7|5.4|11.8|20.3|13|24|38|0.9|1.6|2.4|27|34|40|11|17|22|0|8|18|".24"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|8.6|12.3|16||||4.7|10.6|15.5|5.1|5.8|6.5||||||||||2.3|5.1|7.9|||||||||||||||||||||"25727833"|"76732191"
"Bt"||"B"|||23|25|27|46|51|56|24|26|28|0|0|0|0|3|5|90|95|100|80|90|100|75|85|95|55|70|85|12|20.9|30|1|1.5|2|1|2.2|3|1|2|3|6|6.5|7|8|8.7|9|52|54.6|65|30|32.6|34.6|20|22|24|15|24.5|32|0|0|0|0|0.25|0.5||||1.2|1.3|1.4||||1.26|1.36|1.42||4.23|9.17|14.11|0.14|0.18|0.22||||21.4|26.4|31.2|7.7|12.2|17.2|39|45|52|1.1|2|3.2|27|34|42|11|17|22|3|9|18|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|8.6|12.8|16.9||||2.6|10.6|16.5|4.5|5.5|6.5||||||||||2.3|6.2|10.2|||||||||||||||||||||"25727833"|"76732194"
"Ap"||"A"|||0|0|0|10|13|15|10|13|15|0|0|0|6|11|20|82|83|85|80|82|84|69|77|84|58|66|76|20|24|50|1.3|2|5|2|2.8|6.8|1.9|4|8.9|6.3|7.5|15.3|6.3|7.7|14|40|60.6|73|12|13.6|15|45|47|49|7|15.4|25|0|0|0|1|2|3||||1.47|1.48|1.5||||1.52|1.53|1.59|2.63|14|28|42|0.06|0.08|0.1||||16|22.7|28|4.2|9.9|16.4|31|34|36|0.3|0.9|2|20|30|41|3|10|17|0|4|12|".24"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|3.8|8.4|13.6||||1.4|6.1|13|5.5|6.2|6.5||||||||||1|5.2|11.7|||||||||||||||||||||"25727834"|"76732197"
"Bw"||"B"|||10|13|15|25|38|51|15|25|41|0|0|0|8|21|25|59|63|80|56|60|79|48|54|75|37|42|59|20|35|50|1.3|3.3|4.9|2|4.6|6.7|1.9|6.2|8.9|6.3|10.9|15.4|8.5|10|14.1|28|45|65|10|11.2|13|31|33.8|36|15|20|25|0|0|0|0|0.1|0.2||||1.45|1.47|1.49||||1.51|1.53|1.61|2.67|14|28|42|0.04|0.06|0.08||||14|17|24.6|5|7.4|12.4|24|26|36|0.5|0.8|1.9|25|29|35|9|12|17|0|1|7|".17"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|7.6|10.4|13||||1.4|5.7|9.7|4.5|5.7|6||||||||||5|7.9|15.3|||||||||||||||||||||"25727834"|"76732198"
"R"||"R"|||25|38|51|50|63|203|25|25|178||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.4|7.7|14|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"25727834"|"76732196"
"R"||"R"|||102|112|152|127|137|203||25||||||||||||||||||||||||0||||||||||||||||||||||||||0|0|0|||||||||||||||||1.41|5|10||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"25727835"|"76732203"
"Btxg"||"B"|||38|48|64|73|76|79||28||0|1|2|0|8|15|84|91|100|74|85|100|63|85|100|60|82|100|4|6|20|0|0|0|0|0|0|0.1|0.2|0.3|1.4|1.7|1.8|4|4.1|4.5|51|59|75|||||||20|35|40|0|0|0|0.02|0.25|0.5||||1.51|1.56|1.61||||1.6|1.65|1.71|2.68|0.5|0.71|1.41|0.05|0.06|0.17||||20.4|29.1|35.9|9.1|18.9|25.6|28|34|41|0.7|1.6|2.7|29|43|48|13|24|28|4|19|30|".28"|".43"|0|0|0|0|0|0|0|0|0|0|0|0||||6.4|13.3|20.7|5.2|12|18.8|5.2|5.5|6||||||||||1.7|7.2|9.8|||||||||||||||||||||"25727835"|"76732201"
