"p"|"76732181"|"33253772"
"x"|"76732184"|"33253778"
"t"|"76732182"|"33253773"
"g"|"76732182"|"33253774"
"t"|"76732183"|"33253775"
"x"|"76732183"|"33253776"
"g"|"76732183"|"33253777"
"t"|"76732189"|"33253784"
"r"|"76732190"|"33253783"
"t"|"76732187"|"33253786"
"t"|"76732188"|"33253785"
"p"|"76732186"|"33253787"
"p"|"76732193"|"33253768"
"x"|"76732195"|"33253770"
"g"|"76732191"|"33253771"
"t"|"76732194"|"33253769"
"p"|"76732197"|"33253824"
"w"|"76732198"|"33253825"
"t"|"76732201"|"33253809"
"x"|"76732201"|"33253810"
"g"|"76732201"|"33253811"
"t"|"76732200"|"33253807"
"g"|"76732200"|"33253808"
"x"|"76732202"|"33253812"
"p"|"76732199"|"33253806"
"t"|"76732208"|"33253802"
"r"|"76732209"|"33253801"
"t"|"76732206"|"33253804"
"t"|"76732207"|"33253803"
"p"|"76732205"|"33253805"
"p"|"76732211"|"33253797"
"x"|"76732213"|"33253799"
"g"|"76732214"|"33253800"
"t"|"76732212"|"33253798"
